标的,样本量,均值,标准差,偏度,峰度,最小值,最大值,95% VaR,99% VaR,95% CVaR
上证指数,1294,0.00014803858940291628,0.009863644375770282,-0.397884564167115,9.056058671332927,-0.0762748390119156,0.0775503595927737,-0.014765456599061094,-0.02522024947270109,-0.023218390847941795
创业板指,1294,0.00020982680518813956,0.018270534917707616,0.6602909401798187,10.871952742081735,-0.1335433585379926,0.159133384618598,-0.025570415521621637,-0.041786483672022146,-0.0374992019541306
招商银行,1294,9.058903469816009e-05,0.017137476572103783,0.17672332664448542,3.247522267066701,-0.0904118756141478,0.0867927943410991,-0.026191456848890845,-0.0438288499273805,-0.03806055268130132
贵州茅台,1294,-0.0002041300370120995,0.017249978641598634,0.4041556315180062,4.110348194435216,-0.0785720875551234,0.0907916214688793,-0.025535106891826885,-0.04730650457827894,-0.03936905438859563
