date,open,high,low,close,volume,log_return,simple_return
2021-01-04,3474.679,3511.655,3457.206,3502.958,38079080000,,
2021-01-05,3492.191,3528.677,3484.715,3528.677,40799593400,0.007315258739016173,0.0073420806073039024
2021-01-06,3530.907,3556.802,3513.126,3550.877,37023092600,0.006271602071539206,0.006291309745833917
2021-01-07,3552.909,3576.205,3526.617,3576.205,40534822600,0.007107567059151165,0.0071328857631509646
2021-01-08,3577.692,3588.063,3544.891,3570.108,34555789600,-0.0017063348552817104,-0.0017048798936302179
2021-01-11,3571.321,3597.702,3516.986,3531.498,36247915400,-0.010873703899710208,-0.010814798880033893
2021-01-12,3518.011,3608.339,3517.469,3608.339,32340615300,0.021525412122917587,0.021758755066546787
2021-01-13,3613.281,3622.348,3575.595,3598.652,38812779100,-0.0026882247622150857,-0.0026846147216211813
2021-01-14,3584.932,3599.058,3559.6,3565.905,34766681900,-0.009141452303259356,-0.009099796257042825
2021-01-15,3566.285,3589.266,3533.788,3566.378,32461274400,0.0001326363523972418,0.0001326451489873648
2021-01-18,3554.798,3608.767,3544.261,3596.224,30165256500,0.008333891159338691,0.008368714701582292
2021-01-19,3596.356,3603.148,3553.024,3566.381,32343954100,-0.008333049970115525,-0.008298426349415466
2021-01-20,3564.121,3589.962,3556.443,3583.092,27227166100,0.004674758666162404,0.004685702396911573
2021-01-21,3590.925,3636.244,3585.802,3621.264,32746699500,0.010597021361979486,0.010653368654782058
2021-01-22,3616.54,3616.54,3585.034,3606.75,32446308400,-0.0040160463185525686,-0.004007992789258119
2021-01-25,3605.361,3637.1,3591.02,3624.238,32734107000,0.004836969469774743,0.004848686490607879
2021-01-26,3610.969,3610.969,3564.742,3569.429,27813988400,-0.015238420291964871,-0.015122903076453476
2021-01-27,3567.549,3578.797,3546.492,3573.341,26410716100,0.0010953734730776432,0.0010959736137068354
2021-01-28,3534.669,3549.544,3496.879,3505.176,27086246100,-0.019260279288729976,-0.019075985191449707
2021-01-29,3521.718,3531.598,3446.547,3483.069,29366266400,-0.006326931510081124,-0.006306958623475634
2021-02-01,3477.172,3506.389,3469.875,3505.284,27756790100,0.006357742612351558,0.006377995957013827
2021-02-02,3510.808,3535.502,3495.568,3533.685,26454063000,0.008069691491012776,0.008102339211316423
2021-02-03,3531.149,3544.009,3508.507,3517.308,29735171600,-0.004645311504299698,-0.004634538732229965
2021-02-04,3503.779,3524.722,3465.771,3501.859,29883485400,-0.0044019539488147075,-0.004392279550155975
2021-02-05,3509.487,3536.542,3492.962,3496.333,29014617400,-0.0015792653726922623,-0.0015780189893425112
2021-02-08,3504.563,3542.208,3492.129,3532.447,24979961900,0.01027612695204283,0.010329107667948145
2021-02-09,3539.773,3604.011,3528.676,3603.489,25382176000,0.019911710864516152,0.02011127130852919
2021-02-10,3612.613,3662.766,3612.505,3655.088,25794082400,0.014217626729355004,0.014319177885654844
2021-02-18,3721.087,3731.687,3663.664,3675.357,34030906500,0.005530101284588085,0.005545420520654876
2021-02-19,3661.783,3699.65,3634.015,3696.168,36105980400,0.005646336487984627,0.005662307090168461
2021-02-22,3707.191,3717.267,3642.445,3642.445,48882147800,-0.014641447838203092,-0.014534783050986877
2021-02-23,3617.701,3672.151,3617.701,3636.357,39887317400,-0.0016728031397619247,-0.0016714047844237356
2021-02-24,3638.936,3645.647,3531.594,3564.08,36215895200,-0.020076400268147054,-0.019876211274085565
2021-02-25,3595.542,3608.557,3568.474,3585.046,36623229900,0.005865349164793088,0.0058825840048484235
2021-02-26,3514.565,3550.406,3500.704,3509.08,33328006700,-0.021417410351254773,-0.021189686269018515
2021-03-01,3531.48,3552.567,3511.989,3551.4,31548752600,0.011987997083306112,0.012060141119609735
2021-03-02,3566.852,3566.852,3485.364,3508.591,33983048600,-0.012127359558631312,-0.01205411950216817
2021-03-03,3500.158,3577.622,3498.719,3576.905,34765684600,0.019283368971596104,0.019470493996023075
2021-03-04,3546.641,3552.202,3487.376,3503.492,39361612000,-0.020737715960573055,-0.020524168240420138
2021-03-05,3463.309,3523.568,3456.667,3501.987,35640922300,-0.0004296637026968142,-0.0004295714104670667
2021-03-08,3524.983,3542.304,3421.215,3421.414,38704795400,-0.023276605772402092,-0.023007795288788824
2021-03-09,3415.339,3429.15,3328.312,3359.292,40765253900,-0.018323678433866064,-0.018156820542617802
2021-03-10,3389.839,3397.025,3354.823,3357.737,29974916600,-0.00046300232670759556,-0.0004628951576700624
2021-03-11,3369.902,3436.831,3369.902,3436.831,32211204400,0.023282590710978823,0.02355574602775623
2021-03-12,3447.203,3454.506,3417.239,3453.078,35802703500,0.004716181335428615,0.004727320022427595
2021-03-15,3441.882,3457.489,3392.509,3419.946,36781329300,-0.009641245729550718,-0.009594917925398794
2021-03-16,3424.652,3448.883,3406.175,3446.733,31666874700,0.007802064398774178,0.00783257981266372
2021-03-17,3435.732,3454.056,3410.282,3445.551,28005981800,-0.00034299225382738996,-0.0003429334387085037
2021-03-18,3449.641,3478.145,3449.377,3463.068,28440389100,0.005071067760001213,0.005083947386063992
2021-03-19,3423.873,3439.524,3389.293,3404.663,30916171600,-0.017008938777561156,-0.016865103428520656
2021-03-22,3406.123,3443.66,3404.234,3443.439,31255908400,0.011324718707520276,0.011389086085759503
2021-03-23,3445.341,3445.416,3390.048,3411.509,32638940900,-0.00931596590550221,-0.009272706733007285
2021-03-24,3394.128,3415.295,3362.185,3367.061,31739869700,-0.013114458372635696,-0.013028838557951894
2021-03-25,3355.071,3382.226,3344.97,3363.592,27067609700,-0.00103080646325715,-0.0010302753647766227
2021-03-26,3373.317,3423.223,3373.317,3418.327,27461498700,0.01614179953007877,0.016272782192370494
2021-03-29,3429.632,3449.834,3409.887,3435.296,28482424300,0.004951843623256735,0.004964124263126202
2021-03-30,3432.529,3457.635,3423.315,3456.677,28542308100,0.006204629238315107,0.0062239178225109715
2021-03-31,3452.208,3452.208,3420.832,3441.912,28304926100,-0.004280592029903829,-0.00427144335441243
2021-04-01,3444.81,3470.031,3438.826,3466.332,27524429500,0.007069843426108946,0.007094893768347488
2021-04-02,3472.628,3487.586,3462.832,3484.392,26265487300,0.005196592654769461,0.005210118361426375
2021-04-06,3491.634,3493.281,3471.761,3482.967,23474667100,-0.00040905026420112733,-0.00040896661454847827
2021-04-07,3483.421,3483.421,3453.195,3479.626,29578697800,-0.0009597000015446611,-0.0009592396367809064
2021-04-08,3467.487,3495.909,3459.325,3482.555,33175532900,0.0008414030525205618,0.0008417571313696914
2021-04-09,3475.443,3475.447,3442.139,3450.677,28008519600,-0.009195776122716381,-0.009153624278726347
2021-04-12,3445.97,3456.158,3403.901,3412.948,30957723900,-0.01099400973074438,-0.010933796469504431
2021-04-13,3411.293,3425.395,3387.902,3396.47,27062605400,-0.004839776957229702,-0.004828084107932562
2021-04-14,3397.021,3420.028,3392.975,3416.721,23324232700,0.005944662240494836,0.005962366810247088
2021-04-15,3409.614,3409.614,3373.094,3398.988,23400505400,-0.005203578971276102,-0.005190063806790213
2021-04-16,3407.188,3432.629,3394.134,3426.618,25857967200,0.008096028665811161,0.00812889012847351
2021-04-19,3427.548,3479.01,3414.356,3477.549,30273581900,0.01475396637507842,0.014863343389896366
2021-04-20,3467.148,3494.298,3463.464,3472.943,28530008200,-0.0013253739948897447,-0.0013244960746777723
2021-04-21,3456.299,3481.251,3450.111,3472.93,25377785900,-3.743229973096618e-06,-3.7432229669231987e-06
2021-04-22,3482.833,3485.359,3456.316,3465.114,25111451000,-0.002253085540081301,-0.002250549248041245
2021-04-23,3462.086,3482.359,3456.333,3474.166,24936043300,0.00260891767858773,0.0026123238658237735
2021-04-26,3484.107,3497.121,3438.572,3441.166,27697077100,-0.009544082770224449,-0.00949868256151265
2021-04-27,3440.091,3443.854,3417.265,3442.611,25303239300,0.00041982766763837276,0.00041991580760702973
2021-04-28,3432.161,3457.068,3423.325,3457.068,24738112000,0.004190635870777726,0.004199428863731702
